index,year,month,day,bsrn,rotd,Kp0,Kp3,Kp6,Kp9,Kp12,Kp15,Kp18,Kp21,Kpsum,Ap0,Ap3,Ap6,Ap9,Ap12,Ap15,Ap18,Ap21,Apavg,Cp,C9,isn,f107_adj,Q,f107_81ctr_adj,f107_81lst_adj,f107_obs,f107_81ctr_obs,f107_81lst_obs
1957-10-01,1957,10,1,1700,19,4.3,4.0,3.0,2.0,3.7,2.3,4.3,3.7,27.3,32,27,15,7,22,9,32,22,21,1.1,5,236,268.0,0,265.2,230.6,269.3,266.6,230.9
1957-10-02,1957,10,2,1700,20,3.7,3.7,1.7,1.7,2.7,2.3,1.7,3.0,20.3,22,22,6,6,12,9,6,15,12,0.7,3,234,252.0,0,266.0,231.4,253.3,267.4,231.7
1957-10-03,1957,10,3,1700,21,2.7,2.0,1.3,3.3,3.7,4.7,4.3,3.0,25.0,12,7,5,18,22,39,32,15,19,1.0,5,242,265.0,0,266.7,232.3,266.3,268.1,232.7
1957-10-04,1957,10,4,1700,22,3.0,3.0,2.3,2.7,2.3,2.7,3.0,2.7,21.7,15,15,9,12,9,12,15,12,12,0.7,3,217,237.0,0,267.4,232.9,238.2,268.8,233.3
1957-10-05,1957,10,5,1700,23,3.0,3.0,1.7,2.3,2.0,2.7,2.7,2.0,19.3,15,15,6,9,7,12,12,7,10,0.6,3,219,245.0,0,267.8,233.5,246.2,269.3,233.9
1957-10-06,1957,10,6,1700,24,1.7,0.3,1.0,0.7,0.0,0.0,0.3,0.3,4.3,6,2,4,3,0,0,2,2,2,0.0,0,227,250.0,0,268.1,233.9,251.2,269.6,234.3
1957-10-07,1957,10,7,1700,25,1.0,2.0,1.7,1.7,1.7,0.7,2.0,1.3,12.0,4,7,6,6,6,3,7,5,6,0.2,1,234,253.0,0,268.4,234.2,254.3,269.9,234.6
1957-10-08,1957,10,8,1700,26,1.7,0.0,1.0,0.7,0.3,0.3,0.3,0.3,4.7,6,0,4,3,2,2,2,2,3,0.0,0,244,261.0,0,268.2,234.7,262.6,269.8,235.2
1957-10-09,1957,10,9,1700,27,0.3,1.7,2.3,1.7,2.3,2.3,2.0,2.3,15.0,2,6,9,6,9,9,7,9,7,0.4,2,267,275.0,0,268.3,235.2,276.6,270.0,235.7
1957-10-10,1957,10,10,1701,1,3.0,4.0,4.0,3.0,2.3,3.0,3.7,2.7,25.7,15,27,27,15,9,15,22,12,18,1.0,5,264,275.0,0,268.2,235.6,276.6,269.8,236.1
1957-10-11,1957,10,11,1701,2,3.3,4.3,3.3,4.3,3.7,3.0,2.3,2.3,26.7,18,32,18,32,22,15,9,9,19,1.0,5,232,278.0,0,267.8,236.1,279.7,269.5,236.7
1957-10-12,1957,10,12,1701,3,2.3,3.0,2.7,3.7,2.7,2.7,1.7,3.3,22.0,9,15,12,22,12,12,6,18,13,0.8,4,236,284.0,0,267.8,236.6,285.7,269.5,237.1
1957-10-13,1957,10,13,1701,4,5.0,5.3,3.0,2.3,2.7,2.3,4.3,4.0,29.0,48,56,15,9,12,9,32,27,26,1.2,6,244,281.0,0,268.1,236.9,282.7,269.9,237.5
1957-10-14,1957,10,14,1701,5,4.3,6.3,5.7,5.0,4.3,5.3,4.0,5.0,40.0,32,94,67,48,32,56,27,48,50,1.6,7,232,289.0,0,268.2,237.4,290.7,270.0,238.0
1957-10-15,1957,10,15,1701,6,3.3,2.0,1.7,2.3,3.0,2.7,3.3,2.0,20.3,18,7,6,9,15,12,18,7,12,0.7,3,264,277.0,0,268.7,238.0,278.9,270.5,238.6
1957-10-16,1957,10,16,1701,7,1.3,0.3,0.3,0.7,1.3,1.3,1.7,0.3,7.3,5,2,2,3,5,5,6,2,4,0.1,0,268,289.0,0,269.1,238.7,291.0,271.0,239.3
1957-10-17,1957,10,17,1701,8,1.3,1.3,1.3,3.0,2.7,2.0,1.0,1.3,14.0,5,5,5,15,12,7,4,5,7,0.4,2,251,272.0,0,269.5,239.4,273.9,271.5,240.1
1957-10-18,1957,10,18,1701,9,1.7,1.3,1.7,1.3,0.7,1.7,2.7,1.3,12.3,6,5,6,5,3,6,12,5,6,0.3,1,222,294.0,0,270.0,240.6,296.1,271.9,241.3
1957-10-19,1957,10,19,1701,10,0.7,1.3,2.7,3.3,1.7,2.3,2.7,1.7,16.3,3,5,12,18,6,9,12,6,9,0.5,2,217,291.0,0,270.3,241.8,293.0,272.3,242.5
1957-10-20,1957,10,20,1701,11,2.0,2.3,1.3,2.0,2.0,3.0,2.7,4.0,19.3,7,9,5,7,7,15,12,27,11,0.6,3,230,303.0,0,270.5,243.2,305.1,272.5,243.9
1957-10-21,1957,10,21,1701,12,3.3,2.7,2.7,1.7,2.7,4.0,3.7,6.7,27.3,18,12,12,6,12,27,22,111,28,1.2,6,237,282.0,0,270.9,244.1,284.0,273.0,244.9
1957-10-22,1957,10,22,1701,13,4.3,3.0,3.7,3.7,2.3,3.3,2.7,3.7,26.7,32,15,22,22,9,18,12,22,19,1.0,5,241,274.0,0,271.2,245.1,276.2,273.4,245.9
1957-10-23,1957,10,23,1701,14,5.0,2.7,3.7,3.0,1.3,2.0,4.0,3.7,25.3,48,12,22,15,5,7,27,22,20,1.0,5,254,295.0,0,271.1,246.3,297.4,273.3,247.1
1957-10-24,1957,10,24,1701,15,2.0,1.7,2.0,2.3,2.7,1.7,3.7,1.0,17.0,7,6,7,9,12,6,22,4,9,0.5,2,276,280.0,0,271.3,247.3,282.2,273.6,248.2
1957-10-25,1957,10,25,1701,16,2.0,1.7,2.0,3.0,2.0,1.3,2.0,2.3,16.3,7,6,7,15,7,5,7,9,8,0.4,2,240,259.0,0,271.6,248.2,261.1,273.8,249.1
1957-10-26,1957,10,26,1701,17,3.0,2.0,1.3,2.3,2.0,1.3,1.7,2.0,15.7,15,7,5,9,7,5,6,7,8,0.4,2,293,266.0,0,271.8,249.2,268.1,274.1,250.1
1957-10-27,1957,10,27,1701,18,2.0,2.0,2.0,2.7,4.0,3.3,2.0,2.3,20.3,7,7,7,12,27,18,7,9,12,0.7,3,280,296.0,0,271.9,250.6,298.4,274.2,251.5
1957-10-28,1957,10,28,1701,19,4.0,2.0,3.3,3.3,2.0,3.0,2.7,1.0,21.3,27,7,18,18,7,15,12,4,14,0.8,4,317,323.0,0,271.4,252.3,325.6,273.8,253.3
1957-10-29,1957,10,29,1701,20,3.7,3.0,3.7,3.0,3.3,2.7,3.3,3.7,26.3,22,15,22,15,18,12,18,22,18,1.0,5,334,342.0,0,271.0,254.4,344.7,273.5,255.4
1957-10-30,1957,10,30,1701,21,3.0,3.7,4.7,3.0,2.7,2.0,2.7,1.3,23.0,15,22,39,15,12,7,12,5,16,0.9,4,317,344.0,0,270.1,256.5,346.8,272.6,257.6
1957-10-31,1957,10,31,1701,22,1.0,1.3,1.7,2.0,3.7,1.0,1.7,1.7,14.0,4,5,6,7,22,4,6,6,8,0.4,2,299,318.0,0,269.0,258.3,320.5,271.5,259.4
1957-11-01,1957,11,1,1701,23,1.3,3.3,2.3,2.3,1.7,2.0,1.7,1.7,16.3,5,18,9,9,6,7,6,6,8,0.4,2,266,300.0,0,267.5,259.8,303.0,270.1,260.9
1957-11-02,1957,11,2,1701,24,1.3,1.7,2.0,2.0,1.7,1.0,1.7,3.3,14.7,5,6,7,7,6,4,6,18,7,0.4,2,250,289.0,0,266.1,261.3,291.9,268.7,262.4
1957-11-03,1957,11,3,1701,25,3.3,1.3,3.0,3.3,3.3,3.0,2.3,1.0,20.7,18,5,15,18,18,15,9,4,13,0.7,3,232,266.0,0,265.2,262.3,268.7,267.8,263.5
1957-11-04,1957,11,4,1701,26,1.3,0.0,1.0,0.7,0.3,1.7,1.3,1.3,7.7,5,0,4,3,2,6,5,5,4,0.1,0,214,236.0,0,264.5,263.0,238.4,267.1,264.2
1957-11-05,1957,11,5,1701,27,0.3,0.7,0.7,0.7,1.0,1.7,1.3,1.0,7.3,2,3,3,3,4,6,5,4,4,0.1,0,201,240.0,0,264.2,263.5,242.4,266.9,264.7
1957-11-06,1957,11,6,1702,1,0.0,0.0,1.3,1.3,2.0,2.7,5.7,6.3,19.3,0,0,5,5,7,12,67,94,24,1.1,5,182,239.0,0,264.0,263.8,241.4,266.7,265.0
1957-11-07,1957,11,7,1702,2,7.0,4.3,3.3,3.7,3.3,2.7,2.3,1.0,27.7,132,32,18,22,18,12,9,4,31,1.3,6,177,243.0,0,264.2,264.1,245.4,267.0,265.4
1957-11-08,1957,11,8,1702,3,0.7,2.7,3.7,3.7,3.7,3.0,3.0,4.3,24.7,3,12,22,22,22,15,15,32,18,1.0,5,158,235.0,0,264.6,264.4,237.6,267.4,265.7
